benchmark,status,baseline_time_us,mechanism_time_us,speedup_pct,baseline_wg,mechanism_wg,baseline_max_wg_reached,mechanism_max_wg_reached,dram_trans_delta_pct,dram_bytes_delta_pct,dram_latency_delta_pct,l1v_latency_delta_pct,l2_latency_delta_pct,cpi_vmem_delta_pct,cpi_total_delta_pct,runtime_improvement_pct,dram_trans_improvement_pct,dram_bytes_improvement_pct,dram_latency_improvement_pct,l1v_latency_improvement_pct,l2_latency_improvement_pct,cpi_vmem_improvement_pct,cpi_total_improvement_pct,au_coalesce_pct,dir_avg_size,baseline_dram_read_mb,mechanism_dram_read_mb,baseline_dram_latency_ns,mechanism_dram_latency_ns,baseline_l2_dram_read_issued_mb,baseline_l2_dram_read_useful_mb,baseline_l2_dram_read_overfetch_pct,mechanism_l2_dram_read_issued_mb,mechanism_l2_dram_read_useful_mb,mechanism_l2_dram_read_overfetch_pct
kvcache-decode,paired_short,14.025,13.462,4.18214232654881,69632.0,69632.0,0.0,0.0,-51.26637656474211,-2.532753129484233,-38.222737290853104,-8.569020299223274,-27.854677149701047,-7.089025417225969,-2.421754411352195,4.18214232654881,51.26637656474211,2.532753129484233,38.222737290853104,8.569020299223274,27.854677149701047,7.089025417225969,2.421754411352195,49.67169070252165,1.018361208038,5.485888,5.346944,62.9169679526817,38.868380580757936,,,,,,
kvcache-decode-30b,full_max_wg,13.757000000000001,13.67,0.6364301389905069,78600.0,78600.0,1.0,1.0,-50.62853235181721,-1.2570647036344251,-38.01206543533079,-16.66857670371137,-26.655662171728324,-2.517399625699468,0.16513040276058266,0.6364301389905069,50.62853235181721,1.2570647036344251,38.01206543533079,16.66857670371137,26.655662171728324,2.517399625699468,-0.16513040276058266,49.80164784864205,1.011164274322,6.364032,6.284032,58.57950571210199,36.312225669124444,,,,,,
llmop,paired_short,1.734,1.686,2.8469750889679624,1.0,1.0,0.0,0.0,-7.692307692307687,84.61538461538463,-9.35399868162996,0.0,-6.224815361890689,0.0,-3.118908382067631,2.8469750889679624,7.692307692307687,-84.61538461538463,9.35399868162996,-0.0,6.224815361890689,-0.0,3.118908382067631,7.6923076923076925,1.0,0.000832,0.001536,37.692230769230775,34.166500000000006,,,,,,
matrixmultiplication,full_max_wg,1923.712,2120.257,-9.269866813315552,78600.0,78600.0,1.0,1.0,-23.952095808383234,52.09580838323353,-24.55618380532727,8.897094204794564,-0.063686738862756,5.915524070644129,13.556803053328736,-9.269866813315552,23.952095808383234,-52.09580838323353,24.55618380532727,-8.897094204794564,0.063686738862756,-5.915524070644129,-13.556803053328736,23.952095808383234,1.004491363288,0.171008,0.260096,45.64058233532924,34.432997047244065,,,,,,
matrixmultiplication-llm-decode-attn,paired_short,1606.2610000000002,1521.2640000000001,5.587261645578945,768.0,768.0,0.0,0.0,-49.9647269316024,0.07054613679520205,-36.14609812000145,-8.863087039075179,-20.63426044586486,-9.46661741825987,-5.306947450714327,5.587261645578945,49.9647269316024,-0.07054613679520205,36.14609812000145,8.863087039075179,20.63426044586486,9.46661741825987,5.306947450714327,49.9647269316024,1.025609564306,67.677696,67.72544,60.593311931186314,38.69119394638117,,,,,,
matrixmultiplication-llm-decode-mlp-down,paired_short,4289.731,4072.427,5.335982695331309,768.0,768.0,0.0,0.0,-49.985919261042824,0.02816147791435686,-35.828094547200386,-7.524954539603835,-20.958171654580028,-9.085636140493214,-5.0732551954859595,5.335982695331309,49.985919261042824,-0.02816147791435686,35.828094547200386,7.524954539603835,20.958171654580028,9.085636140493214,5.0732551954859595,49.985919261042824,1.02503945874,181.80864,181.85984,60.578579636435315,38.874428848942195,,,,,,
matrixmultiplication-llm-decode-mlp-up,paired_short,2046.1680000000001,1882.6660000000002,8.68459939256352,2064.0,2064.0,0.0,0.0,-36.74151650640912,26.516966987181757,-41.215349171320206,-18.581336446001462,-26.266559167907765,-16.8318343678597,-26.362461695067164,8.68459939256352,36.74151650640912,-26.516966987181757,41.215349171320206,18.581336446001462,26.266559167907765,16.8318343678597,26.362461695067164,49.971719224576255,1.066318081578,135.48192,171.407616,62.56906928227788,36.7810089043418,,,,,,
matrixmultiplication-llm-prefill-attn,paired_short,7181.118,7055.394,1.7819557632075433,7680.0,7680.0,0.0,0.0,-45.061736389932214,9.876527220135568,-27.807648705428566,-2.4275696938279356,-1.9268506356186155,-2.0385077675492136,-3.7342258650265636,1.7819557632075433,45.061736389932214,-9.876527220135568,27.807648705428566,2.4275696938279356,1.9268506356186155,2.0385077675492136,3.7342258650265636,46.38232877578107,1.00565022594,29.64864,32.576896,48.40509569572074,34.94477672912819,,,,,,
matrixmultiplication-llm-prefill-mlp-down,baseline_only,21729.597,,,7680.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication-llm-prefill-mlp-up,baseline_only,33015.219,,,20640.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication-middletile,full_max_wg,1684.922,1679.8729999999998,0.3005584350721735,78600.0,78600.0,1.0,1.0,-37.883008356545965,24.233983286908067,-33.60146218426945,-3.111495780044571,-0.032300147247721345,-4.6975774354860995,3.467583506600369,0.3005584350721735,37.883008356545965,-24.233983286908067,33.60146218426945,3.111495780044571,0.032300147247721345,4.6975774354860995,-3.467583506600369,37.88300835654596,1.004316249892,0.367616,0.456704,51.396749303621725,34.1266900224215,,,,,,
pagerank,full_max_wg,5384.476,5467.497,-1.5184461921058157,78600.0,78600.0,1.0,1.0,-35.41324119305771,29.17351761388458,-33.374439541642076,-1.8738562442509266,-11.136425824575891,2.381022451862025,0.30144542361061344,-1.5184461921058157,35.41324119305771,-29.17351761388458,33.374439541642076,1.8738562442509266,11.136425824575891,-2.381022451862025,-0.30144542361061344,36.34410033193461,1.004857431464,112.80192,145.710208,52.26809765677744,34.82391300474982,,,,,,
relu,full_max_wg,9.298,9.253,0.48632875824057287,78600.0,78600.0,1.0,1.0,-50.13796770159769,-0.275935403195382,-38.28696889473713,-23.434121737541513,-26.366628587721397,-0.5659930051445827,-0.10404651354156691,0.48632875824057287,50.13796770159769,0.275935403195382,38.28696889473713,23.434121737541513,26.366628587721397,0.5659930051445827,0.10404651354156691,49.96447349722894,1.0020180665,21.547072,21.487616,57.33466663498411,35.382960654546515,,,,,,
resnet,paired_short,688.794,691.1769999999999,-0.34477420400274017,31360.0,31360.0,0.0,0.0,-47.959528548360275,4.08094290327945,-39.62522519421405,-2.5349081318155497,-20.80796766520535,0.1768916529255815,0.3461131667235495,-0.34477420400274017,47.959528548360275,-4.08094290327945,39.62522519421405,2.5349081318155497,20.80796766520535,-0.1768916529255815,-0.3461131667235495,47.959528548360275,1.236822460826,11.929792,12.41664,68.33485773834113,41.257016473377654,,,,,,
simpleconvolution,full_max_wg,36.674,36.644999999999996,0.07913767226088719,78600.0,78600.0,1.0,1.0,-41.74420675183564,16.51158649632871,-35.27398278848032,-10.91808323610437,-20.906265448042348,-20.75402586216032,0.004467811509867303,0.07913767226088719,41.74420675183564,-16.51158649632871,35.27398278848032,10.91808323610437,20.906265448042348,20.75402586216032,-0.004467811509867303,41.63314280117258,1.00530484266,18.330304,21.356928,53.23961206448081,34.45988046820215,,,,,,
spmv,paired_short,127928.20999999999,126622.79600000002,1.0309470658032005,8192.0,8192.0,0.0,0.0,1.1103377035443174,102.22067540708863,-0.7448629181808997,-1.1730596559700546,-0.794915016260056,-2.2105900381454324,-3.4447914122156753,1.0309470658032005,-1.1103377035443174,-102.22067540708863,0.7448629181808997,1.1730596559700546,0.794915016260056,2.2105900381454324,3.4447914122156753,0.44951707677632746,1.000499496298,457.795136,925.756416,34.82005723824905,34.56069554379197,,,,,,
